open,high,low,close,volume,adjusted_close,time
259.93333333333334,264.5,256.8933333333333,260.4367,62828641,260.4367,2021-09-29 00:00:00 Wednesday
260.3333333333333,263.0435333333333,258.3333333333333,258.4933,53867881,258.4933,2021-09-30 00:00:00 Thursday
259.46666666666664,260.26,254.53,258.4067,51094229,258.4067,2021-10-01 00:00:00 Friday
265.5,268.99,258.70666666666665,260.51,91450017,260.51,2021-10-04 00:00:00 Monday
261.5987,265.77003333333334,258.06666666666666,260.1967,55297891,260.1967,2021-10-05 00:00:00 Tuesday
258.73333333333335,262.21999999999997,257.74,260.9167,43898309,260.9167,2021-10-06 00:00:00 Wednesday
261.82,268.3333333333333,261.12666666666667,264.5367,57587335,264.5367,2021-10-07 00:00:00 Thursday
265.40333333333336,265.46003333333334,260.30333333333334,261.83,50215799,261.83,2021-10-08 00:00:00 Friday
262.55,267.08003333333335,261.8333333333333,263.98,42600959,263.98,2021-10-11 00:00:00 Monday
266.9767,270.77333333333337,265.52333333333337,268.5733,66060115,268.5733,2021-10-12 00:00:00 Tuesday
270.1566666666667,271.80333333333334,268.5933333333333,270.36,42360239,270.36,2021-10-13 00:00:00 Wednesday
271.83003333333335,273.4167,271.1167,272.7733,36741509,272.7733,2021-10-14 00:00:00 Thursday
274.57933333333335,281.07,274.1166666666667,281.01,56773708,281.01,2021-10-15 00:00:00 Friday
283.93,291.75336666666664,283.8233333333333,290.0367,72621718,290.0367,2021-10-18 00:00:00 Monday
292.51,292.65003333333334,287.50336666666664,288.09,52143391,288.09,2021-10-19 00:00:00 Tuesday
288.45,289.83003333333335,285.79333333333335,288.6,42096149,288.6,2021-10-20 00:00:00 Wednesday
285.3333333333333,300.0,285.1682,298.0,94444338,298.0,2021-10-21 00:00:00 Thursday
298.5,303.3333333333333,296.9867,303.2267,68642518,303.2267,2021-10-22 00:00:00 Friday
316.8433333333333,348.34,314.73333333333335,341.62,188556289,341.62,2021-10-25 00:00:00 Monday
341.56333333333333,364.98,333.81333333333333,339.4767,187244902,339.4767,2021-10-26 00:00:00 Tuesday
346.55333333333334,356.96000000000004,343.5933333333333,345.9533,115579380,345.9533,2021-10-27 00:00:00 Wednesday
356.1016666666667,360.3333333333333,351.40000000000003,359.0133,81639502,359.0133,2021-10-28 00:00:00 Thursday
360.61999999999995,371.7366666666667,357.73499999999996,371.3333,89755257,371.3333,2021-10-29 00:00:00 Friday
381.6666666666667,403.25,372.8866666666667,402.8633,168146152,402.8633,2021-11-01 00:00:00 Monday
386.45166666666665,402.8633333333333,382.0,390.6667,128213399,390.6667,2021-11-02 00:00:00 Tuesday
392.4433333333333,405.13000000000005,384.20666666666665,404.62,103885557,404.62,2021-11-03 00:00:00 Wednesday
411.47,414.49666666666667,405.6666666666667,409.97,76192222,409.97,2021-11-04 00:00:00 Thursday
409.3333333333333,413.28999999999996,402.6666666666667,407.3633,64886431,407.3633,2021-11-05 00:00:00 Friday
383.2616666666667,399.0,377.6666666666667,387.6467,100337154,387.6467,2021-11-08 00:00:00 Monday
391.2,391.5,337.17333333333335,341.1667,177317515,341.1667,2021-11-09 00:00:00 Tuesday
336.80333333333334,359.3666666666666,329.1033333333333,355.9833,128408153,355.9833,2021-11-10 00:00:00 Wednesday
367.59,368.3233333333333,351.56,354.5033,67189702,354.5033,2021-11-11 00:00:00 Thursday
349.1666666666667,351.5,339.73333333333335,344.4733,76719448,344.4733,2021-11-12 00:00:00 Friday
339.21,343.99333333333334,326.2,337.7967,104326941,337.7967,2021-11-15 00:00:00 Monday
334.43666666666667,352.40000000000003,334.06,351.5767,79627075,351.5767,2021-11-16 00:00:00 Tuesday
354.50333333333333,373.21333333333337,351.8333333333333,363.0033,94336098,363.0033,2021-11-17 00:00:00 Wednesday
368.84999999999997,370.6666666666667,358.34,365.46,62696788,365.46,2021-11-18 00:00:00 Thursday
366.28999999999996,379.5733333333333,364.23333333333335,379.02,64926778,379.02,2021-11-19 00:00:00 Friday
387.4433333333333,400.65000000000003,377.4766666666667,385.6233,99217533,385.6233,2021-11-22 00:00:00 Monday
389.17,393.5,354.23333333333335,369.6767,108515094,369.6767,2021-11-23 00:00:00 Tuesday
360.13000000000005,377.59,354.0,372.0,67680718,372.0,2021-11-24 00:00:00 Wednesday
366.49,369.5943333333333,360.3333333333333,360.64,35042669,360.64,2021-11-26 00:00:00 Friday
366.99666666666667,380.89000000000004,366.73,378.9967,58393411,378.9967,2021-11-29 00:00:00 Monday
381.45666666666665,389.3333333333333,372.6666666666667,381.5867,81276115,381.5867,2021-11-30 00:00:00 Tuesday
386.8983333333333,390.94666666666666,363.58666666666664,365.0,68804095,365.0,2021-12-01 00:00:00 Wednesday
366.3533333333333,371.0,352.2166666666667,361.5333,73114855,361.5333,2021-12-02 00:00:00 Thursday
361.59666666666664,363.52500000000003,333.40333333333336,338.3233,92321997,338.3233,2021-12-03 00:00:00 Friday
333.83666666666664,340.5466666666667,316.8333333333333,336.3367,81663115,336.3367,2021-12-06 00:00:00 Monday
348.06666666666666,352.558,342.27,350.5833,56084575,350.5833,2021-12-07 00:00:00 Tuesday
350.90333333333336,357.46000000000004,344.3333333333333,356.32,41906369,356.32,2021-12-08 00:00:00 Wednesday
353.5466666666667,354.16333333333336,334.12,334.6,59438488,334.6,2021-12-09 00:00:00 Thursday
336.25,340.32666666666665,327.51,339.01,59664355,339.01,2021-12-10 00:00:00 Friday
333.69666666666666,335.0,317.14,322.1367,78595498,322.1367,2021-12-13 00:00:00 Monday
315.0,322.13666666666666,310.0,319.5034,70806262,319.5034,2021-12-14 00:00:00 Tuesday
317.7367,326.2499666666667,309.4167,325.33,75169222,325.33,2021-12-15 00:00:00 Wednesday
331.5,331.66,307.28333333333336,308.9733,82771438,308.9733,2021-12-16 00:00:00 Thursday
304.92333333333335,320.21996666666666,303.0133666666667,310.8567,100880259,310.8567,2021-12-17 00:00:00 Friday
303.56666666666666,307.2295,297.7967,299.98,56480008,299.98,2021-12-20 00:00:00 Monday
305.62336666666664,313.1667,295.37336666666664,312.8433,71517931,312.8433,2021-12-21 00:00:00 Tuesday
321.88666666666666,338.55333333333334,319.01666666666665,336.29,93634074,336.29,2021-12-22 00:00:00 Wednesday
335.59999999999997,357.65900000000005,332.52003333333334,355.6667,92713287,355.6667,2021-12-23 00:00:00 Thursday
357.89000000000004,372.3333333333333,356.905,364.6467,71145808,364.6467,2021-12-27 00:00:00 Monday
369.83,373.0,359.47333333333336,362.8233,60323911,362.8233,2021-12-28 00:00:00 Tuesday
366.21333333333337,368.0,354.71333333333337,362.0633,56154058,362.0633,2021-12-29 00:00:00 Wednesday
353.77666666666664,365.18333333333334,351.05,356.78,47040929,356.78,2021-12-30 00:00:00 Thursday
357.81466666666665,360.6666666666667,351.53,352.26,40733639,352.26,2021-12-31 00:00:00 Friday
382.5833333333333,400.3566666666666,378.68,399.9267,104686053,399.9267,2022-01-03 00:00:00 Monday
396.51666666666665,402.6666666666667,374.34999999999997,383.1967,100248267,383.1967,2022-01-04 00:00:00 Tuesday
382.2166666666667,390.1133333333333,360.33666666666664,362.7067,80119798,362.7067,2022-01-05 00:00:00 Wednesday
359.0,362.6666666666667,340.1666666666667,354.9,90336477,354.9,2022-01-06 00:00:00 Thursday
360.1233333333333,360.31,336.6666666666667,342.32,84164758,342.32,2022-01-07 00:00:00 Friday
333.3333333333333,353.0333333333333,326.6667,352.7067,91814880,352.7067,2022-01-10 00:00:00 Monday
351.22333333333336,358.6166666666666,346.2733333333333,354.8,66063208,354.8,2022-01-11 00:00:00 Tuesday
359.6166666666666,371.6133333333333,357.53,368.74,83739022,368.74,2022-01-12 00:00:00 Wednesday
